index,next_index,path_id,start_label,end_label
1020,865,1020_9857,6,5
865,6346,1020_9857,6,5
6346,2877,1020_9857,6,5
2877,9857,1020_9857,6,5
5852,3913,5852_3541,8,3
3913,735,5852_3541,8,3
735,5510,5852_3541,8,3
5510,9817,5852_3541,8,3
9817,3541,5852_3541,8,3
4462,3956,4462_3901,4,8
3956,2572,4462_3901,4,8
2572,4804,4462_3901,4,8
4804,2993,4462_3901,4,8
2993,3901,4462_3901,4,8
9419,6322,9419_9001,3,0
6322,3189,9419_9001,3,0
3189,5545,9419_9001,3,0
5545,9001,9419_9001,3,0
5536,7153,5536_5292,1,2
7153,3608,5536_5292,1,2
3608,4822,5536_5292,1,2
4822,3645,5536_5292,1,2
3645,2387,5536_5292,1,2
2387,5534,5536_5292,1,2
5534,2411,5536_5292,1,2
2411,8102,5536_5292,1,2
8102,1373,5536_5292,1,2
1373,5812,5536_5292,1,2
5812,5292,5536_5292,1,2
8730,2270,8730_3539,7,9
2270,5816,8730_3539,7,9
5816,7189,8730_3539,7,9
7189,4304,8730_3539,7,9
4304,3539,8730_3539,7,9
5433,730,5433_8303,5,9
730,6707,5433_8303,5,9
6707,553,5433_8303,5,9
553,8303,5433_8303,5,9
3505,2695,3505_3793,1,7
2695,8678,3505_3793,1,7
8678,2867,3505_3793,1,7
2867,9570,3505_3793,1,7
9570,5583,3505_3793,1,7
5583,2930,3505_3793,1,7
2930,9546,3505_3793,1,7
9546,1725,3505_3793,1,7
1725,3552,3505_3793,1,7
3552,3793,3505_3793,1,7
6116,5857,6116_332,6,7
5857,9967,6116_332,6,7
9967,8459,6116_332,6,7
8459,243,6116_332,6,7
243,7336,6116_332,6,7
7336,332,6116_332,6,7
9222,6852,9222_4722,9,2
6852,6288,9222_4722,9,2
6288,4258,9222_4722,9,2
4258,1709,9222_4722,9,2
1709,4722,9222_4722,9,2
8280,3359,8280_2160,1,2
3359,2858,8280_2160,1,2
2858,2303,8280_2160,1,2
2303,1055,8280_2160,1,2
1055,333,8280_2160,1,2
333,6378,8280_2160,1,2
6378,8681,8280_2160,1,2
8681,2160,8280_2160,1,2
258,4183,258_8620,2,8
4183,3279,258_8620,2,8
3279,9125,258_8620,2,8
9125,8620,258_8620,2,8
5496,5931,5496_9458,1,5
5931,4723,5496_9458,1,5
4723,9570,5496_9458,1,5
9570,4643,5496_9458,1,5
4643,185,5496_9458,1,5
185,9458,5496_9458,1,5
9492,1691,9492_2039,1,8
1691,264,9492_2039,1,8
264,9723,9492_2039,1,8
9723,2039,9492_2039,1,8
3822,5927,3822_5613,0,9
5927,2237,3822_5613,0,9
2237,3516,3822_5613,0,9
3516,6821,3822_5613,0,9
6821,5613,3822_5613,0,9
8391,8059,8391_4529,5,0
8059,5137,8391_4529,5,0
5137,4529,8391_4529,5,0
8150,1983,8150_5526,9,8
1983,6850,8150_5526,9,8
6850,3341,8150_5526,9,8
3341,9543,8150_5526,9,8
9543,7031,8150_5526,9,8
7031,2720,8150_5526,9,8
2720,5526,8150_5526,9,8
7485,6335,7485_7277,6,3
6335,5365,7485_7277,6,3
5365,9208,7485_7277,6,3
9208,7758,7485_7277,6,3
7758,2814,7485_7277,6,3
2814,7277,7485_7277,6,3
5068,9052,5068_3877,8,0
9052,1434,5068_3877,8,0
1434,3135,5068_3877,8,0
3135,3854,5068_3877,8,0
3854,9170,5068_3877,8,0
9170,3877,5068_3877,8,0
7118,7157,7118_3101,4,0
7157,6852,7118_3101,4,0
6852,9089,7118_3101,4,0
9089,9682,7118_3101,4,0
9682,3101,7118_3101,4,0
8612,1810,8612_9165,3,7
1810,8481,8612_9165,3,7
8481,224,8612_9165,3,7
224,8241,8612_9165,3,7
8241,9165,8612_9165,3,7
6356,2466,6356_9431,2,9
2466,3220,6356_9431,2,9
3220,7893,6356_9431,2,9
7893,317,6356_9431,2,9
317,1462,6356_9431,2,9
1462,9431,6356_9431,2,9
2705,2574,2705_4740,2,9
2574,8114,2705_4740,2,9
8114,2796,2705_4740,2,9
2796,5893,2705_4740,2,9
5893,5196,2705_4740,2,9
5196,4740,2705_4740,2,9
713,6627,713_5818,9,8
6627,1490,713_5818,9,8
1490,5818,713_5818,9,8
1250,7408,1250_5478,0,7
7408,6815,1250_5478,0,7
6815,1205,1250_5478,0,7
1205,1198,1250_5478,0,7
1198,7080,1250_5478,0,7
7080,2775,1250_5478,0,7
2775,6359,1250_5478,0,7
6359,5478,1250_5478,0,7
6347,5330,6347_9690,8,1
5330,264,6347_9690,8,1
264,1691,6347_9690,8,1
1691,9492,6347_9690,8,1
9492,3806,6347_9690,8,1
3806,9690,6347_9690,8,1
55,8669,55_2278,6,8
8669,3815,55_2278,6,8
3815,1413,55_2278,6,8
1413,2428,55_2278,6,8
2428,9749,55_2278,6,8
9749,2278,55_2278,6,8
8990,1458,8990_5982,5,0
1458,1571,8990_5982,5,0
1571,1392,8990_5982,5,0
1392,7721,8990_5982,5,0
7721,5982,8990_5982,5,0
4325,4865,4325_9875,6,8
4865,2942,4325_9875,6,8
2942,6605,4325_9875,6,8
6605,6889,4325_9875,6,8
6889,8627,4325_9875,6,8
8627,9875,4325_9875,6,8
1357,6958,1357_3269,7,5
6958,8321,1357_3269,7,5
8321,9381,1357_3269,7,5
9381,7682,1357_3269,7,5
7682,7644,1357_3269,7,5
7644,3269,1357_3269,7,5
9126,6891,9126_4188,5,8
6891,4188,9126_4188,5,8
7924,5402,7924_171,5,8
5402,987,7924_171,5,8
987,171,7924_171,5,8
8748,1187,8748_7054,3,1
1187,8753,8748_7054,3,1
8753,780,8748_7054,3,1
780,2000,8748_7054,3,1
2000,57,8748_7054,3,1
57,996,8748_7054,3,1
996,8863,8748_7054,3,1
8863,4458,8748_7054,3,1
4458,7054,8748_7054,3,1
626,4527,626_3457,1,9
4527,6262,626_3457,1,9
6262,3266,626_3457,1,9
3266,8998,626_3457,1,9
8998,5287,626_3457,1,9
5287,6634,626_3457,1,9
6634,1802,626_3457,1,9
1802,3457,626_3457,1,9
7713,3885,7713_3346,4,1
3885,1277,7713_3346,4,1
1277,6773,7713_3346,4,1
6773,8737,7713_3346,4,1
8737,2858,7713_3346,4,1
2858,2317,7713_3346,4,1
2317,3346,7713_3346,4,1
1968,3099,1968_3602,0,1
3099,4726,1968_3602,0,1
4726,2450,1968_3602,0,1
2450,9381,1968_3602,0,1
9381,1260,1968_3602,0,1
1260,3245,1968_3602,0,1
3245,729,1968_3602,0,1
729,583,1968_3602,0,1
583,9893,1968_3602,0,1
9893,3602,1968_3602,0,1
6009,512,6009_8358,2,4
512,4946,6009_8358,2,4
4946,9168,6009_8358,2,4
9168,9332,6009_8358,2,4
9332,4755,6009_8358,2,4
4755,8358,6009_8358,2,4
2566,2859,2566_910,2,1
2859,5454,2566_910,2,1
5454,1055,2566_910,2,1
1055,9961,2566_910,2,1
9961,9212,2566_910,2,1
9212,4379,2566_910,2,1
4379,6655,2566_910,2,1
6655,3178,2566_910,2,1
3178,9792,2566_910,2,1
9792,910,2566_910,2,1
1771,9493,1771_8599,2,3
9493,4060,1771_8599,2,3
4060,6283,1771_8599,2,3
6283,2388,1771_8599,2,3
2388,8599,1771_8599,2,3
8499,3434,8499_2349,1,2
3434,2142,8499_2349,1,2
2142,6446,8499_2349,1,2
6446,9998,8499_2349,1,2
9998,2349,8499_2349,1,2
2595,1591,2595_1188,9,8
1591,2155,2595_1188,9,8
2155,2775,2595_1188,9,8
2775,7969,2595_1188,9,8
7969,862,2595_1188,9,8
862,4570,2595_1188,9,8
4570,1188,2595_1188,9,8
2618,5205,2618_3975,5,0
5205,1712,2618_3975,5,0
1712,3642,2618_3975,5,0
3642,3975,2618_3975,5,0
3814,8252,3814_141,0,8
8252,1627,3814_141,0,8
1627,7740,3814_141,0,8
7740,141,3814_141,0,8
9981,7705,9981_7440,1,2
7705,4368,9981_7440,1,2
4368,4115,9981_7440,1,2
4115,8399,9981_7440,1,2
8399,7440,9981_7440,1,2
2363,3180,2363_4095,2,9
3180,851,2363_4095,2,9
851,4095,2363_4095,2,9
2475,7721,2475_8486,0,8
7721,9597,2475_8486,0,8
9597,4429,2475_8486,0,8
4429,8993,2475_8486,0,8
8993,7547,2475_8486,0,8
7547,6838,2475_8486,0,8
6838,8486,2475_8486,0,8
1861,6275,1861_1512,2,4
6275,2546,1861_1512,2,4
